jugador,equipo,precio,rating,win_rounds,loss_rounds, padding_rounds, elim_rounds
sh1ro,Spirit,225,122,3,0,0,0
magixx,Spirit,209,100,3,0,0,0
tN1R,Spirit,218,105,3,0,0,0
zont1x,Spirit,206,100,3,0,0,0
donk,Spirit,250,151,3,0,0,0
torzsi,MOUZ,198,106,2,1,0,0
Spinx,MOUZ,202,101,2,1,0,0
xertioN,MOUZ,215,124,2,1,0,0
PR,MOUZ,213,108,2,1,0,0
xelex,MOUZ,211,104,2,1,0,0
Blitz,TheMongolz,193,100,1,1,0,1
techno,TheMongolz,190,89,1,1,0,1
910,TheMongolz,216,115,1,1,0,1
tikuak,TheMongolz,192,97,1,1,0,1
DarkMeister,TheMongolz,195,115,1,1,0,1
frozen,FaZe,215,118,1,1,0,1
Twistzz,FaZe,207,110,1,1,0,1
Neityu,FaZe,188,98,1,1,0,1
jcobbb,FaZe,184,99,1,1,0,1
JBOEN,FaZe,205,106,1,1,0,1
HooXi,Astralis,174,87,0,1,0,2
phzy,Astralis,199,89,0,1,0,2
jabbi,Astralis,204,103,0,1,0,2
Staehr,Astralis,215,111,0,1,0,2
ryu,Astralis,193,94,0,1,0,2
vsm,paiN,186,87,0,1,0,2
biguzera,paiN,179,95,0,1,0,2
piriajr,paiN,193,105,0,1,0,2
saffee,paiN,184,98,0,1,0,2
snow,paiN,194,103,0,1,0,2
NAF,Liquid,190,109,0,1,0,2
EliGE,Liquid,187,108,0,1,0,2
malbsMd,Liquid,190,115,0,1,0,2
JT,Liquid,181,104,0,1,0,2
Jorko,Liquid,199,124,0,1,0,2
maka,3DMAX,180,102,0,1,0,2
lucky,3DMAX,190,98,0,1,0,2
misutaaa,3DMAX,183,104,0,1,0,2
Kursy,3DMAX,184,117,0,1,0,2
gravity,3DMAX,175,90,0,1,0,2

XANTARES,Aurora,230,107,4,0,1,0
woxic,Aurora,222,103,4,0,1,0
Jimpphat,Aurora,210,95,4,0,1,0
kyxsan,Aurora,200,77,4,0,1,0
wicadia,Aurora,235,119,4,0,1,0

MaSvAl,magic,219,112,4,0,1,0
sFade8,magic,192,94,4,0,1,0
AW,magic,201,100,4,0,1,0
mo0N,magic,208,97,4,0,1,0
tenzy,magic,216,109,4,0,1,0

Snappi,NinjasinPyjamas,180,89,3,1,1,0
stavn,NinjasinPyjamas,208,110,3,1,1,0
sjuush,NinjasinPyjamas,200,106,3,1,1,0
n0te,NinjasinPyjamas,217,116,3,1,1,0
xKacpersky,NinjasinPyjamas,208,105,3,1,1,0

SELLTER,Nemesis,192,98,2,2,0,1
r3salt,Nemesis,210,117,2,2,0,1
mag1k3Y,Nemesis,196,103,2,2,0,1
