jugador,equipo,precio,rating,win_rounds,loss_rounds, padding_rounds, elim_rounds
apEx,Vitality,189,101,1,1,0,1
ropz,Vitality,215,123,1,1,0,1
ZywOo,Vitality,240,132,1,1,0,1
flameZ,Vitality,217,121,1,1,0,1
mezii,Vitality,197,102,1,1,0,1
sh1ro,Spirit,208,112,3,0,0,0
magixx,Spirit,186,91,3,0,0,0
tN1R,Spirit,195,101,3,0,0,0
zont1x,Spirit,184,94,3,0,0,0
donk,Spirit,240,137,3,0,0,0
karrigan,Falcons,167,70,0,1,0,2
NiKo,Falcons,207,97,0,1,0,2
TeSeS,Falcons,206,107,0,1,0,2
m0NESY,Falcons,225,122,0,1,0,2
kyosuke,Falcons,210,116,0,1,0,2
Fallen,FURIA,193,93,2,1,0,0
yuurih,FURIA,203,104,2,1,0,0
YEKINDAR,FURIA,212,98,2,1,0,0
KSCERATO,FURIA,223,115,2,1,0,0
molodoy,FURIA,221,105,2,1,0,0
MAJ3R,Aurora,187,92,1,1,0,1
XANTARES,Aurora,199,99,1,1,0,1
woxic,Aurora,200,97,1,1,0,1
soulfly,Aurora,198,97,1,1,0,1
Wicadia,Aurora,215,106,1,1,0,1
Hunter-,G2,184,0,0,1,0,2
NertZ,G2,186,0,0,1,0,2
SunPayus,G2,183,0,0,1,0,2
HeavyGod,G2,201,0,0,1,0,2
MATYS,G2,182,0,0,1,0,2
Boombl4,BetBoom,175,0,0,1,0,2
zorte,BetBoom,179,0,0,1,0,2
d1Ledez,BetBoom,188,0,0,1,0,2
FL4MUS,BetBoom,184,0,0,1,0,2
Magnojez,BetBoom,196,0,0,1,0,2
max,9z,170,0,0,1,0,2
dgt,9z,190,0,0,1,0,2
meyern,9z,173,0,0,1,0,2
luchov,9z,194,0,0,1,0,2
HUASOPEEK,9z,185,0,0,1,0,2
